abats, orig: abats
abbes, orig: abbés
abces, orig: abcès
abeti, orig: abêti
abima, orig: abîma
abime, orig: abîme
abime, orig: abîmé
aboie, orig: aboie
abois, orig: abois
aboli, orig: aboli
abord, orig: abord
abots, orig: abots
about, orig: about
aboya, orig: aboya
aboye, orig: aboyé
abris, orig: abris
abusa, orig: abusa
abuse, orig: abuse
abuse, orig: abusé
acces, orig: accès
accot, orig: accot
accru, orig: accru
accus, orig: accus
acera, orig: acéra
acere, orig: acéré
acere, orig: acère
achat, orig: achat
acide, orig: acide
acier, orig: acier
acini, orig: acini
acmes, orig: acmés
acnes, orig: acnés
acons, orig: acons
acore, orig: acore
acres, orig: acres
acres, orig: âcres
actai, orig: actai
actas, orig: actas
actat, orig: actât
actee, orig: actée
acter, orig: acter
actes, orig: actes
actez, orig: actez
actif, orig: actif
adage, orig: adage
adent, orig: adent
adieu, orig: adieu
admet, orig: admet
admis, orig: admis
admit, orig: admit
admit, orig: admît
adnee, orig: adnée
adnes, orig: adnés
adora, orig: adora
adore, orig: adore
adore, orig: adoré
adret, orig: adret
adula, orig: adula
adule, orig: adule
adule, orig: adulé
aedes, orig: aèdes
aequo, orig: aequo
aerai, orig: aérai
aeras, orig: aéras
aerat, orig: aérât
aeree, orig: aérée
aerer, orig: aérer
aeres, orig: aérés
aeres, orig: aères
aerez, orig: aérez
affin, orig: affin
affut, orig: affût
agaca, orig: agaça
agace, orig: agace
agace, orig: agacé
agami, orig: agami
agape, orig: agape
agate, orig: agate
agave, orig: agave
agave, orig: agavé
agees, orig: âgées
agent, orig: agent
aghas, orig: aghas
agile, orig: agile
agios, orig: agios
agira, orig: agira
agita, orig: agita
agite, orig: agite
agite, orig: agité
agnat, orig: agnat
agora, orig: agora
agrea, orig: agréa
agree, orig: agrée
agree, orig: agréé
agres, orig: agrès
aguis, orig: aguis
ahana, orig: ahana
ahane, orig: ahane
ahane, orig: ahané
ahans, orig: ahans
ahuri, orig: ahuri
aiche, orig: aiche
aidai, orig: aidai
aidas, orig: aidas
aidat, orig: aidât
aidee, orig: aidée
aider, orig: aider
aides, orig: aides
aides, orig: aidés
aidez, orig: aidez
aient, orig: aient
aieul, orig: aïeul
aieux, orig: aïeux
aigle, orig: aigle
aigre, orig: aigre
